acou0,acou1,dance0,dance1,energy0,energy1,loud0,loud1,speech0,speech1,tempo0,tempo1,val0,val1
0.744,0.522,0.574,0.246,0.284,0.125,-12.841,-17.222,0.0558,0.0386,120.542,136.098,0.507,0.188
0.632,0.946,0.632,0.329,0.38,0.07,-8.989,-25.603,0.0245,0.0504,94.033,76.272,0.586,0.0541
0.257,0.437,0.671,0.194,0.373,0.172,-18.064,-23.588,0.0323,0.0396,92.717,89.472,0.732,0.0374
0.612,0.995,0.705,0.492,0.467,0.00107,-8.636,-38.861,0.0442,0.0587,86.003,131.454,0.779,0.301
0.765,0.948,0.653,0.179,0.229,0.0837,-11.198,-19.657,0.181,0.0496,168.076,82.036,0.519,0.0374
0.0151,0.808,0.637,0.201,0.843,0.0628,-5.413,-20.923,0.0432,0.0396,109.012,78.221,0.434,0.113
0.0021,0.985,0.774,0.155,0.75,0.0408,-4.927,-23.985,0.0413,0.0363,118.015,78.292,0.925,0.0714
0.0262,0.925,0.738,0.721,0.483,0.351,-8.915,-13.526,0.0403,0.0562,93.458,119.909,0.355,0.188
0.0133,0.977,0.726,0.296,0.429,0.0654,-6.623,-18.747,0.0519,0.0353,85.899,76.623,0.871,0.277
0.00391,0.981,0.936,0.313,0.76,0.0678,-7.873,-24.21,0.282,0.0468,128.479,114.959,0.657,0.114
0.00627,0.987,0.766,0.37,0.873,0.00308,-6.381,-37.721,0.143,0.0483,126.988,71.206,0.743,0.0771
0.488,0.992,0.367,0.147,0.657,0.0591,-5.707,-26.783,0.0366,0.054,185.808,85.382,0.217,0.0278
0.858,0.903,0.498,0.102,0.316,0.0406,-6.554,-23.355,0.03,0.046,76.034,86.82,0.12,0.0714
0.682,0.993,0.649,0.349,0.43,0.164,-7.266,-21.135,0.0266,0.0389,95.992,92.015,0.529,0.111
0.189,0.985,0.315,0.26,0.55,0.0284,-5.649,-25.583,0.0289,0.0416,69.241,62.507,0.333,0.0406
0.732,0.923,0.671,0.188,0.456,0.0128,-8.313,-24.619,0.0943,0.0376,141.737,72.644,0.388,0.0396
0.0108,0.932,0.8,0.188,0.894,0.0453,-7.346,-23.016,0.04,0.0442,138.48,93.488,0.967,0.0426
0.676,0.851,0.661,0.0698,0.733,0.00405,-5.345,-38.919,0.129,0.0383,137.904,74.584,0.556,0.0356
0.371,0.872,0.443,0.0821,0.55,0.128,-6.417,-16.584,0.041,0.0346,77.52,78.015,0.188,0.0427
0.0151,0.995,0.616,0.244,0.83,0.0021,-4.757,-41.044,0.034,0.0417,115.01,64.364,0.732,0.187
0.27,0.982,0.583,0.194,0.667,0.0324,-7.351,-28.215,0.029,0.0382,140.028,144.13,0.53,0.0596
0.00357,0.975,0.555,0.303,0.729,0.119,-4.813,-18.055,0.0387,0.0386,129.003,94.868,0.369,0.038
0.0146,0.915,0.814,0.235,0.955,0.282,-5.905,-15.247,0.0377,0.0523,129.992,89.451,0.963,0.103
0.287,0.948,0.397,0.151,0.446,0.0796,-7.411,-21.55,0.0248,0.0408,170.541,100.063,0.199,0.0306
0.634,0.989,0.506,0.436,0.372,0.138,-8.491,-23.467,0.0642,0.0487,150.225,114.282,0.234,0.775
0.62,0.918,0.55,0.0636,0.656,0.0344,-7.771,-29.329,0.0538,0.0503,92.042,65.937,0.695,0.0353
0.686,0.944,0.702,0.216,0.307,0.0959,-10.683,-21.114,0.0289,0.0489,111.987,70.022,0.41,0.0381
0.0433,0.944,0.496,0.123,0.797,0.0501,-6.089,-21.614,0.0375,0.0455,175.974,66.596,0.376,0.0581
0.4,0.989,0.63,0.3,0.53,0.0257,-7.259,-29.881,0.0434,0.0515,108.038,74.78,0.417,0.0374
0.0215,0.902,0.592,0.0811,0.792,0.0122,-5.884,-32.654,0.0335,0.0511,121.001,74.554,0.293,0.0384
0.446,0.963,0.712,0.603,0.51,0.00215,-8.162,-25.283,0.0633,0.0925,122.964,107.524,0.268,0.106
0.615,0.963,0.31,0.358,0.269,0.255,-9.282,-21.766,0.0308,0.0418,128.145,112.317,0.0724,0.552
0.00281,0.917,0.633,0.278,0.976,0.151,-5.362,-19.607,0.0519,0.042,142.027,99.212,0.493,0.167
0.723,0.993,0.786,0.345,0.351,0.044,-4.909,-27.767,0.0369,0.0434,114.99,67.889,0.478,0.0398
0.154,0.929,0.468,0.241,0.64,0.0553,-5.862,-24.446,0.0275,0.0358,79.297,70.707,0.499,0.281
0.0577,0.969,0.565,0.277,0.782,0.0344,-6.413,-28.581,0.0506,0.0482,140.004,99.246,0.4,0.117
0.167,0.979,0.739,0.299,0.511,0.0663,-7.844,-24.119,0.0362,0.0459,96.038,107.683,0.542,0.102
0.271,0.984,0.307,0.321,0.425,0.0118,-8.924,-28.011,0.0372,0.0413,108.693,113.205,0.136,0.316
0.85,0.976,0.576,0.363,0.25,0.115,-10.009,-17.325,0.0319,0.0689,127.896,134.424,0.155,0.231
0.802,0.922,0.473,0.107,0.236,0.0404,-11.177,-25.179,0.0388,0.0433,179.961,83.107,0.316,0.0322
0.657,0.941,0.696,0.207,0.275,0.0351,-10.821,-35.287,0.0287,0.0463,93.951,104.176,0.514,0.0956
0.0582,0.989,0.886,0.248,0.448,0.0278,-8.866,-25.461,0.112,0.0373,129.966,67.425,0.731,0.0383
0.553,0.532,0.697,0.233,0.447,0.513,-7.862,-15.286,0.0282,0.109,74.994,144.079,0.54,0.108
0.506,0.977,0.5,0.146,0.258,0.133,-7.206,-18.292,0.0328,0.039,155.327,174.494,0.191,0.0581
0.896,0.972,0.332,0.189,0.413,0.0448,-6.527,-26.624,0.0367,0.0761,201.951,172.289,0.595,0.286
0.0485,0.941,0.48,0.575,0.718,0.634,-5.461,-16.967,0.0603,0.0487,163.987,191.992,0.252,0.904
0.0254,0.903,0.386,0.511,0.594,0.25,-6.186,-16.066,0.0565,0.0342,113.843,107.819,0.187,0.396
0.00129,0.984,0.494,0.0768,0.946,0.0779,-2.757,-25.68,0.0637,0.0426,103.408,80.145,0.741,0.036
0.474,0.948,0.781,0.0704,0.445,0.0657,-6.061,-19.466,0.0295,0.0387,78.998,61.017,0.591,0.0361
0.621,0.945,0.728,0.152,0.563,0.0493,-8.053,-24.501,0.134,0.0361,100.017,89.144,0.352,0.0357
0.954,0.99,0.52,0.281,0.312,0.113,-7.626,-16.608,0.0283,0.0586,97.975,81.682,0.27,0.232
0.241,0.978,0.672,0.139,0.623,0.0676,-5.699,-25.826,0.0297,0.0405,92.018,87.282,0.617,0.0376
0.00239,0.962,0.429,0.397,0.661,0.0211,-7.227,-27.023,0.0281,0.0363,173.365,93.563,0.285,0.502
0.282,0.748,0.463,0.278,0.388,0.373,-9.367,-16.175,0.0437,0.0446,77.415,80.788,0.166,0.284
0.00382,0.933,0.61,0.388,0.683,0.276,-3.879,-15.012,0.0253,0.0277,108.003,97.34,0.466,0.427
0.758,0.987,0.692,0.287,0.358,0.0789,-8.075,-23.112,0.0254,0.0416,95.972,64.27,0.526,0.0371
0.0294,0.958,0.591,0.0903,0.649,0.083,-6.72,-21.241,0.0417,0.0387,90.002,85.443,0.489,0.032
0.839,0.992,0.617,0.359,0.328,0.137,-10.145,-19.978,0.0304,0.048,119.825,73.066,0.321,0.201
0.725,0.846,0.313,0.193,0.32,0.196,-9.952,-17.791,0.0292,0.0416,98.046,94.25,0.395,0.038
0.97,0.994,0.549,0.491,0.371,0.0176,-9.56,-26.911,0.0378,0.0644,87.024,125.793,0.13,0.0901
0.151,0.99,0.696,0.304,0.59,0.0143,-7.428,-30.75,0.0904,0.0404,99.984,148.583,0.462,0.126
0.0415,0.994,0.69,0.389,0.524,0.0174,-8.39,-32.313,0.103,0.0393,164.023,93.243,0.562,0.327
0.36,0.846,0.617,0.18,0.84,0.249,-4.063,-16.591,0.0512,0.038,94.676,84.329,0.57,0.0394
0.921,0.95,0.667,0.0813,0.13,0.163,-14.206,-17.178,0.0348,0.0436,139.891,83.217,0.457,0.0306
0.789,0.975,0.638,0.151,0.338,0.0145,-13.13,-30.353,0.0298,0.0416,125.088,54.843,0.525,0.0356
0.928,0.986,0.409,0.135,0.137,0.065,-9.169,-22.832,0.0446,0.0507,162.08,75.444,0.106,0.0574
0.112,0.894,0.722,0.229,0.901,0.00756,-3.66,-26.971,0.105,0.0398,143.401,131.936,0.963,0.0399
0.113,0.923,0.499,0.386,0.601,0.325,-6.454,-14.183,0.0304,0.0427,143.984,155.594,0.483,0.224
0.0733,0.982,0.382,0.161,0.416,0.0247,-9.303,-25.167,0.0302,0.0384,102.089,92.975,0.125,0.0352
0.922,0.805,0.422,0.137,0.264,0.0292,-7.064,-25.755,0.0322,0.0425,119.93,81.113,0.331,0.0309
0.637,0.987,0.646,0.211,0.431,0.0117,-8.517,-35.214,0.0262,0.0412,90.034,90.447,0.292,0.0672
0.603,0.991,0.609,0.531,0.445,0.0275,-9.129,-25.572,0.106,0.071,118.393,136.664,0.166,0.0552
0.0023,0.99,0.978,0.367,0.787,0.0452,-2.79,-27.545,0.0394,0.0528,116.006,91.278,0.597,0.151
0.977,0.991,0.369,0.539,0.3,0.1,-5.359,-22.88,0.0298,0.052,148.622,133.204,0.216,0.602
0.686,0.985,0.586,0.271,0.439,0.00954,-9.096,-35.478,0.0296,0.0357,120.032,126.358,0.428,0.629
0.644,0.916,0.604,0.3,0.37,0.0167,-7.729,-25.686,0.0315,0.0422,114.82,111.069,0.288,0.159
0.0118,0.829,0.513,0.441,0.768,0.319,-4.868,-13.99,0.0587,0.0392,84.264,99.419,0.235,0.671
0.865,0.996,0.349,0.37,0.327,0.00375,-8.441,-36.791,0.0292,0.0471,149.825,134.656,0.339,0.193
0.254,0.837,0.583,0.333,0.584,0.465,-5.362,-18.452,0.0314,0.0462,140.039,169.952,0.136,0.641
0.573,0.995,0.668,0.338,0.361,0.00719,-8.69,-32.422,0.0273,0.0437,134.15,67.592,0.288,0.034
0.855,0.961,0.655,0.202,0.461,0.0444,-9.693,-24.731,0.0275,0.0439,95.056,81.625,0.695,0.0375
0.741,0.866,0.54,0.154,0.285,0.0952,-10.053,-21.534,0.0475,0.044,87.789,72.495,0.434,0.0589
0.767,0.793,0.524,0.0994,0.527,0.121,-8.897,-17.763,0.0299,0.0433,143.95,89.428,0.318,0.0378
0.242,0.993,0.705,0.248,0.469,0.0151,-7.46,-32.213,0.0771,0.0346,82.009,133.01,0.552,0.0375
0.777,0.902,0.46,0.114,0.461,0.0158,-5.074,-25.243,0.0291,0.0351,79.812,82.869,0.451,0.0481
0.344,0.979,0.606,0.312,0.459,0.0528,-6.463,-25.993,0.0327,0.0405,120.031,109.298,0.321,0.0553
0.0435,0.989,0.743,0.279,0.807,0.00461,-3.78,-36.886,0.0364,0.0439,144.062,69.813,0.899,0.039
0.858,0.994,0.616,0.242,0.265,0.00898,-13.824,-31.811,0.0274,0.0424,101.86,68.88,0.194,0.0549
0.12,0.947,0.862,0.322,0.663,0.264,-9.004,-13.969,0.21,0.0388,85.308,132.463,0.837,0.176
0.37,0.995,0.519,0.164,0.634,0.156,-6.61,-20.916,0.0398,0.0423,159.869,136.432,0.273,0.0396
0.302,0.884,0.447,0.132,0.602,0.15,-8.996,-19.245,0.219,0.0396,165.041,78.037,0.35,0.0342
0.261,0.965,0.706,0.11,0.247,0.0438,-17.961,-20.501,0.0311,0.0442,127.812,80.955,0.424,0.0368
0.95,0.996,0.566,0.425,0.226,0.00472,-6.22,-37.89,0.0339,0.0479,97.789,81.93,0.316,0.484
0.506,0.973,0.752,0.138,0.426,0.0967,-8.705,-22.356,0.0346,0.0386,134.054,65.605,0.355,0.0384
0.00132,0.821,0.736,0.26,0.811,0.153,-4.17,-21.459,0.081,0.0475,103.502,99.749,0.609,0.0885
0.177,0.996,0.511,0.449,0.658,0.00631,-6.864,-36.027,0.0368,0.041,152.033,69.325,0.433,0.0676
0.82,0.932,0.416,0.181,0.226,0.193,-10.934,-14.65,0.0338,0.0497,138.852,78.166,0.178,0.0382
0.81,0.967,0.575,0.251,0.184,0.304,-12.719,-16.228,0.0388,0.0352,126.025,166.953,0.147,0.439
0.0208,0.991,0.583,0.192,0.786,0.0181,-3.142,-29.82,0.0301,0.0416,123.052,70.183,0.573,0.0359
0.372,0.976,0.389,0.0802,0.467,0.00652,-6.207,-35.334,0.0273,0.0446,139.878,82.109,0.29,0.0377
0.155,0.988,0.554,0.134,0.513,0.0861,-5.772,-22.517,0.0286,0.0441,138.037,153.035,0.169,0.0355
0.783,0.968,0.5,0.331,0.323,0.235,-9.731,-17.343,0.0263,0.04,142.191,78.27,0.372,0.0722
0.823,0.988,0.703,0.246,0.207,0.0804,-8.265,-21.226,0.028,0.0525,95.932,154.588,0.505,0.246
0.000618,0.922,0.574,0.251,0.911,0.293,-5.176,-12.351,0.0715,0.0423,98.075,103.398,0.573,0.0616
0.771,0.98,0.315,0.166,0.296,0.0127,-13.262,-29.865,0.0317,0.0427,172.638,72.154,0.436,0.0525
0.658,0.952,0.459,0.314,0.412,0.00627,-8.452,-24.406,0.0281,0.047,135.684,109.756,0.291,0.326
0.863,0.969,0.544,0.248,0.379,0.0364,-9.113,-25.313,0.0412,0.0413,199.756,134.059,0.322,0.0379
0.823,0.987,0.482,0.299,0.282,0.0131,-10.548,-32.335,0.0302,0.0627,93.165,129.611,0.128,0.0736
0.756,0.994,0.689,0.222,0.419,0.0119,-7.532,-32.855,0.0279,0.0357,105.939,72.774,0.566,0.14
0.725,0.992,0.634,0.34,0.385,0.141,-7.484,-20.177,0.0285,0.0435,129.891,70.756,0.152,0.19
0.497,0.961,0.851,0.236,0.849,0.143,-3.383,-20.026,0.0828,0.044,120.014,115.055,0.844,0.0594
0.904,0.989,0.507,0.143,0.134,0.155,-17.01,-18.407,0.0368,0.0457,135.8,57.832,0.377,0.0659
0.614,0.845,0.439,0.255,0.207,0.108,-9.573,-22.921,0.0296,0.0473,136.513,103.282,0.263,0.108
0.00444,0.906,0.801,0.322,0.641,0.14,-9.097,-20.747,0.0565,0.0489,93.773,92.122,0.829,0.285
0.879,0.957,0.4,0.124,0.323,0.0398,-10.831,-21.611,0.0328,0.0379,105.337,82.092,0.289,0.0358
0.965,0.971,0.71,0.51,0.0565,0.237,-15.099,-18.908,0.0534,0.064,123.994,152.085,0.348,0.226
0.709,0.984,0.464,0.356,0.351,0.107,-7.459,-29.551,0.0273,0.0346,129.681,94.178,0.134,0.332
0.128,0.864,0.574,0.459,0.629,0.186,-8.815,-16.53,0.0363,0.0371,153.119,117.753,0.786,0.461
0.892,0.887,0.559,0.15,0.33,0.35,-8.251,-11.579,0.0285,0.0495,135.109,73.019,0.285,0.193
0.668,0.95,0.689,0.176,0.287,0.11,-11.906,-21.082,0.0336,0.0387,122.912,129.484,0.399,0.0413
0.832,0.959,0.678,0.146,0.204,0.0485,-10.371,-24.879,0.0525,0.0397,115.795,102.206,0.299,0.0369
0.225,0.995,0.6,0.398,0.663,0.00293,-5.802,-29.481,0.0477,0.0666,121.07,130.464,0.286,0.0804
0.422,0.839,0.927,0.386,0.721,0.0738,-12.561,-19.369,0.0908,0.0433,103.018,142.499,0.965,0.172
0.15,0.965,0.695,0.168,0.615,0.144,-5.325,-18.636,0.042,0.0422,124.015,87.983,0.414,0.0357
0.859,0.995,0.795,0.629,0.378,0.00503,-9.979,-30.047,0.316,0.0572,100.227,68.788,0.576,0.325
